State,PeopleAffected,Domain,ResourcesRequired,UrgencyReason,Timeline,Urgency,EstimatedCost
Karnataka,406,Food,Medicines,Natural Disaster (Flood/Earthquake),Long term,High,9823.0
Andhra Pradesh,439,Education,Beds/Shelter,Disease Outbreak,Within 1 week,High,23383.13
Gujarat,174,Shelter,Beds/Shelter,Health Emergency,Long term,Medium,11284.47
Bihar,80,Healthcare,Beds/Shelter,Community Emergency,Immediate,Low,6353.67
Bihar,401,Education,Volunteers,Disease Outbreak,Within 1 week,High,2564.33
Gujarat,81,Employment,Food Kits,Community Emergency,Long term,Low,798.19
Delhi,93,Shelter,Medicines,Health Emergency,Within 1 week,Low,2319.48
Andhra Pradesh,156,Disaster Relief,Medicines,Seasonal Need,Immediate,Medium,4730.69
Bihar,616,Food,Volunteers,Disease Outbreak,Within 1 week,High,4755.63
Karnataka,93,Food,Volunteers,Community Emergency,Immediate,Low,762.81
Delhi,789,Shelter,Volunteers,Health Emergency,Within 1 week,High,6219.91
Andhra Pradesh,178,Employment,Beds/Shelter,Disease Outbreak,Long term,High,8001.57
Karnataka,453,Healthcare,Volunteers,Natural Disaster (Flood/Earthquake),Long term,High,4534.59
Maharashtra,103,Employment,Beds/Shelter,Community Emergency,Immediate,Medium,4318.38
Delhi,165,Education,Food Kits,Disease Outbreak,Immediate,High,2196.26
Maharashtra,68,Shelter,Volunteers,Community Emergency,Within 1 week,Low,512.34
Andhra Pradesh,926,Education,Food Kits,Disease Outbreak,Within 1 week,High,8265.87
Gujarat,41,Shelter,Medicines,Community Emergency,Long term,Low,1008.06
Andhra Pradesh,327,Disaster Relief,Medicines,Natural Disaster (Flood/Earthquake),Immediate,High,11613.04
Bihar,305,Disaster Relief,Food Kits,Health Emergency,Immediate,Medium,3780.88
Delhi,115,Food,Volunteers,Community Emergency,Within 1 week,Medium,999.94
Delhi,454,Disaster Relief,Funds,Disease Outbreak,Immediate,High,8887.34
Tamil Nadu,116,Shelter,Medicines,Seasonal Need,Long term,Medium,2901.26
Maharashtra,46,Disaster Relief,Food Kits,Community Emergency,Long term,Low,610.27
Gujarat,15,Employment,Food Kits,Community Emergency,Within 1 week,Low,133.53
Delhi,24,Disaster Relief,Food Kits,Community Emergency,Long term,Low,317.13
Delhi,585,Disaster Relief,Funds,Disease Outbreak,Immediate,High,12486.37
Karnataka,185,Education,Funds,Community Emergency,Within 1 week,Medium,2483.85
Andhra Pradesh,912,Disaster Relief,Funds,Health Emergency,Immediate,High,19726.45
Tamil Nadu,810,Disaster Relief,Food Kits,Natural Disaster (Flood/Earthquake),Immediate,High,14276.5
Gujarat,729,Employment,Volunteers,Natural Disaster (Flood/Earthquake),Within 1 week,High,4357.53
Telangana,433,Employment,Volunteers,Health Emergency,Long term,Medium,2481.19
Delhi,164,Employment,Funds,Seasonal Need,Within 1 week,Medium,2080.44
Telangana,875,Healthcare,Volunteers,Health Emergency,Long term,High,10415.03
Bihar,996,Employment,Volunteers,Natural Disaster (Flood/Earthquake),Long term,High,5983.6
Tamil Nadu,16,Healthcare,Beds/Shelter,Seasonal Need,Long term,Low,1356.71
Karnataka,321,Employment,Volunteers,Health Emergency,Immediate,Medium,1852.42
Delhi,9,Education,Medicines,Community Emergency,Within 1 week,Low,182.14
Andhra Pradesh,885,Food,Medicines,Natural Disaster (Flood/Earthquake),Immediate,High,28107.95
Karnataka,101,Shelter,Food Kits,Community Emergency,Immediate,Medium,1353.75
Tamil Nadu,853,Healthcare,Food Kits,Natural Disaster (Flood/Earthquake),Long term,High,14129.47
Andhra Pradesh,1,Healthcare,Medicines,Community Emergency,Within 1 week,Low,38.92
Telangana,467,Education,Volunteers,Natural Disaster (Flood/Earthquake),Immediate,High,4262.9
Delhi,2422,Healthcare,Volunteers,Natural Disaster (Flood/Earthquake),Immediate,High,36759.64
Tamil Nadu,386,Shelter,Funds,Health Emergency,Long term,Medium,5875.66
Telangana,241,Healthcare,Funds,Health Emergency,Long term,Medium,5475.72
Andhra Pradesh,149,Healthcare,Beds/Shelter,Disease Outbreak,Long term,High,13335.07
Karnataka,92,Shelter,Medicines,Natural Disaster (Flood/Earthquake),Long term,High,2200.51
Gujarat,723,Food,Medicines,Natural Disaster (Flood/Earthquake),Within 1 week,High,16557.17
Maharashtra,951,Shelter,Beds/Shelter,Health Emergency,Long term,High,60798.94
Andhra Pradesh,193,Healthcare,Food Kits,Community Emergency,Immediate,Medium,3558.25
Maharashtra,80,Food,Volunteers,Community Emergency,Long term,Low,584.01
Delhi,501,Food,Medicines,Natural Disaster (Flood/Earthquake),Long term,High,10902.62
Gujarat,889,Education,Beds/Shelter,Natural Disaster (Flood/Earthquake),Immediate,High,58451.39
Telangana,644,Employment,Beds/Shelter,Disease Outbreak,Long term,High,25623.04
Delhi,113,Education,Funds,Seasonal Need,Immediate,Medium,1309.6
Gujarat,27,Employment,Volunteers,Community Emergency,Immediate,Low,173.76
Gujarat,973,Healthcare,Food Kits,Health Emergency,Immediate,High,22263.65
Tamil Nadu,99,Disaster Relief,Beds/Shelter,Natural Disaster (Flood/Earthquake),Within 1 week,High,7160.8
Karnataka,499,Healthcare,Beds/Shelter,Health Emergency,Long term,Medium,41593.46
Tamil Nadu,440,Shelter,Food Kits,Health Emergency,Within 1 week,Medium,6648.06
Telangana,841,Employment,Beds/Shelter,Health Emergency,Immediate,High,52313.98
Bihar,623,Education,Food Kits,Natural Disaster (Flood/Earthquake),Within 1 week,High,6314.58
Maharashtra,619,Education,Food Kits,Disease Outbreak,Within 1 week,High,6337.51
Maharashtra,523,Shelter,Food Kits,Health Emergency,Within 1 week,High,6852.22
Gujarat,71,Healthcare,Food Kits,Community Emergency,Immediate,Low,1273.26
Delhi,852,Food,Medicines,Disease Outbreak,Immediate,High,27175.88
Karnataka,71,Education,Funds,Disease Outbreak,Within 1 week,High,923.04
Bihar,279,Food,Beds/Shelter,Health Emergency,Long term,Medium,14968.59
Gujarat,84,Food,Food Kits,Seasonal Need,Long term,Low,929.28
Delhi,884,Education,Volunteers,Disease Outbreak,Within 1 week,High,5484.83
Tamil Nadu,401,Food,Medicines,Natural Disaster (Flood/Earthquake),Immediate,High,10839.18
Karnataka,2,Employment,Food Kits,Community Emergency,Long term,Low,17.09
Maharashtra,10,Shelter,Food Kits,Community Emergency,Within 1 week,Low,136.31
Maharashtra,297,Food,Beds/Shelter,Health Emergency,Long term,Medium,15956.82
Tamil Nadu,333,Shelter,Medicines,Natural Disaster (Flood/Earthquake),Immediate,High,11278.39
Andhra Pradesh,49,Healthcare,Volunteers,Seasonal Need,Long term,Low,564.55
Andhra Pradesh,469,Shelter,Beds/Shelter,Natural Disaster (Flood/Earthquake),Within 1 week,High,28013.31
Andhra Pradesh,18557,Disaster Relief,Medicines,Natural Disaster (Flood/Earthquake),Within 1 week,High,465036.8
Delhi,85,Employment,Medicines,Community Emergency,Long term,Low,1577.43
Telangana,123,Healthcare,Funds,Seasonal Need,Immediate,Medium,2583.3
Andhra Pradesh,43,Food,Medicines,Community Emergency,Immediate,Low,1097.5
Andhra Pradesh,729,Healthcare,Medicines,Disease Outbreak,Immediate,High,30859.01
Telangana,63,Healthcare,Volunteers,Seasonal Need,Long term,Low,656.09
Andhra Pradesh,40,Healthcare,Volunteers,Community Emergency,Within 1 week,Low,500.89
Delhi,58,Disaster Relief,Medicines,Community Emergency,Within 1 week,Low,1634.07
Andhra Pradesh,599,Food,Medicines,Disease Outbreak,Within 1 week,High,14384.76
Telangana,77,Food,Funds,Community Emergency,Long term,Low,986.01
Karnataka,882,Employment,Beds/Shelter,Disease Outbreak,Within 1 week,High,39829.35
Telangana,122,Food,Beds/Shelter,Disease Outbreak,Immediate,High,8155.73
Maharashtra,418,Employment,Beds/Shelter,Natural Disaster (Flood/Earthquake),Long term,High,18051.47
Gujarat,899,Shelter,Food Kits,Health Emergency,Immediate,High,14058.83
Karnataka,619,Food,Volunteers,Disease Outbreak,Immediate,High,5744.76
Delhi,301,Food,Funds,Disease Outbreak,Within 1 week,High,4024.46
Delhi,112,Disaster Relief,Funds,Disease Outbreak,Within 1 week,High,2048.53
Tamil Nadu,821,Food,Medicines,Natural Disaster (Flood/Earthquake),Immediate,High,23243.06
Tamil Nadu,129,Disaster Relief,Beds/Shelter,Seasonal Need,Long term,Medium,8206.98
Telangana,663,Food,Medicines,Natural Disaster (Flood/Earthquake),Immediate,High,21613.77
Tamil Nadu,763,Disaster Relief,Volunteers,Health Emergency,Immediate,High,8554.2
Gujarat,47,Disaster Relief,Medicines,Community Emergency,Immediate,Low,1371.81
Gujarat,129,Food,Beds/Shelter,Seasonal Need,Immediate,Medium,7841.95
Gujarat,23,Shelter,Funds,Community Emergency,Within 1 week,Low,378.99
Andhra Pradesh,798,Disaster Relief,Volunteers,Disease Outbreak,Immediate,High,8946.95
Telangana,177,Employment,Volunteers,Seasonal Need,Within 1 week,Medium,1306.0
Bihar,878,Education,Food Kits,Natural Disaster (Flood/Earthquake),Immediate,High,11891.59
Andhra Pradesh,88,Employment,Beds/Shelter,Health Emergency,Long term,Low,4281.27
Tamil Nadu,514,Healthcare,Volunteers,Disease Outbreak,Long term,High,5981.38
Gujarat,288,Food,Food Kits,Natural Disaster (Flood/Earthquake),Immediate,High,4421.02
Maharashtra,296,Disaster Relief,Funds,Health Emergency,Immediate,Medium,5363.72
Karnataka,4347,Disaster Relief,Medicines,Health Emergency,Within 1 week,High,109832.73
Bihar,284,Employment,Food Kits,Natural Disaster (Flood/Earthquake),Within 1 week,High,2522.99
Karnataka,164,Education,Beds/Shelter,Disease Outbreak,Within 1 week,High,8176.75
Gujarat,255,Education,Food Kits,Disease Outbreak,Long term,High,2429.05
Telangana,137,Employment,Beds/Shelter,Seasonal Need,Long term,Medium,6203.38
Telangana,74,Healthcare,Food Kits,Community Emergency,Long term,Low,1238.01
Karnataka,403,Education,Food Kits,Health Emergency,Within 1 week,Medium,4866.24
Delhi,993,Disaster Relief,Food Kits,Disease Outbreak,Immediate,High,16274.14
Telangana,974,Disaster Relief,Food Kits,Health Emergency,Immediate,High,17241.86
Telangana,843,Education,Food Kits,Health Emergency,Immediate,High,11232.19
Andhra Pradesh,870,Food,Medicines,Natural Disaster (Flood/Earthquake),Long term,High,18026.25
Andhra Pradesh,131,Healthcare,Food Kits,Community Emergency,Immediate,Medium,2061.36
Telangana,124,Disaster Relief,Volunteers,Community Emergency,Within 1 week,Medium,1228.09
Karnataka,142,Healthcare,Funds,Natural Disaster (Flood/Earthquake),Immediate,High,4062.94
Andhra Pradesh,118,Employment,Food Kits,Community Emergency,Long term,Medium,1148.91
Andhra Pradesh,194,Employment,Volunteers,Community Emergency,Long term,Medium,1237.94
Andhra Pradesh,174,Disaster Relief,Beds/Shelter,Community Emergency,Immediate,Medium,11423.61
Tamil Nadu,136,Healthcare,Medicines,Community Emergency,Within 1 week,Medium,5175.66
Tamil Nadu,781,Employment,Funds,Natural Disaster (Flood/Earthquake),Long term,High,9170.9
Gujarat,883,Healthcare,Food Kits,Health Emergency,Within 1 week,High,14853.7
Maharashtra,795,Disaster Relief,Funds,Health Emergency,Long term,High,12573.04
Maharashtra,64,Food,Beds/Shelter,Community Emergency,Within 1 week,Low,3336.01
Karnataka,122,Food,Funds,Community Emergency,Long term,Medium,1725.87
Telangana,62,Food,Beds/Shelter,Community Emergency,Within 1 week,Low,3693.23
Karnataka,124,Healthcare,Food Kits,Seasonal Need,Long term,Medium,2283.94
Bihar,58,Disaster Relief,Food Kits,Seasonal Need,Immediate,Low,804.56
Maharashtra,99,Disaster Relief,Medicines,Seasonal Need,Immediate,Low,2740.27
Maharashtra,10714,Food,Funds,Health Emergency,Long term,High,129696.92
Gujarat,450,Healthcare,Funds,Health Emergency,Within 1 week,Medium,10909.76
Karnataka,534,Food,Volunteers,Disease Outbreak,Within 1 week,High,3767.4
Maharashtra,189,Employment,Medicines,Seasonal Need,Within 1 week,Medium,4027.65
Maharashtra,435,Food,Beds/Shelter,Natural Disaster (Flood/Earthquake),Immediate,High,31701.83
Tamil Nadu,256,Employment,Funds,Disease Outbreak,Long term,High,3068.57
Karnataka,445,Healthcare,Medicines,Disease Outbreak,Within 1 week,High,16836.38
Delhi,855,Education,Medicines,Natural Disaster (Flood/Earthquake),Within 1 week,High,18109.73
Andhra Pradesh,734,Food,Beds/Shelter,Health Emergency,Immediate,High,55482.39
Karnataka,830,Shelter,Volunteers,Disease Outbreak,Within 1 week,High,6018.41
Delhi,256,Shelter,Medicines,Health Emergency,Long term,Medium,6298.68
Gujarat,389,Employment,Funds,Disease Outbreak,Immediate,High,5691.41
Gujarat,624,Healthcare,Funds,Natural Disaster (Flood/Earthquake),Immediate,High,15535.97
Tamil Nadu,640,Employment,Volunteers,Health Emergency,Long term,High,3982.18
Maharashtra,748,Shelter,Medicines,Natural Disaster (Flood/Earthquake),Within 1 week,High,19072.88
Karnataka,313,Disaster Relief,Volunteers,Disease Outbreak,Within 1 week,High,3034.38
Delhi,189,Healthcare,Volunteers,Community Emergency,Long term,Medium,2308.42
Telangana,414,Food,Volunteers,Disease Outbreak,Long term,High,3221.02
Delhi,852,Food,Volunteers,Health Emergency,Immediate,High,7441.16
Gujarat,999,Food,Beds/Shelter,Health Emergency,Long term,High,50461.5
Delhi,647,Employment,Funds,Health Emergency,Long term,High,6406.22
Tamil Nadu,256,Employment,Medicines,Natural Disaster (Flood/Earthquake),Long term,High,5004.21
Karnataka,197,Food,Medicines,Community Emergency,Long term,Medium,4239.5
Maharashtra,68,Disaster Relief,Medicines,Community Emergency,Immediate,Low,1871.22
Maharashtra,74,Disaster Relief,Beds/Shelter,Community Emergency,Within 1 week,Low,4750.78
Maharashtra,87,Food,Food Kits,Seasonal Need,Long term,Low,962.92
Karnataka,191,Food,Medicines,Seasonal Need,Immediate,Medium,4808.76
Delhi,949,Disaster Relief,Beds/Shelter,Health Emergency,Within 1 week,High,66916.04
Tamil Nadu,153,Healthcare,Medicines,Seasonal Need,Within 1 week,Medium,6400.25
Tamil Nadu,204,Food,Beds/Shelter,Health Emergency,Within 1 week,Medium,13057.15
Telangana,172,Employment,Medicines,Community Emergency,Immediate,Medium,3365.48
Maharashtra,231,Healthcare,Beds/Shelter,Natural Disaster (Flood/Earthquake),Immediate,High,26218.87
Bihar,309,Employment,Beds/Shelter,Natural Disaster (Flood/Earthquake),Long term,High,14791.41
Andhra Pradesh,479,Shelter,Medicines,Natural Disaster (Flood/Earthquake),Immediate,High,16379.04
Tamil Nadu,424,Education,Funds,Disease Outbreak,Immediate,High,6326.73
Delhi,166,Food,Funds,Seasonal Need,Within 1 week,Medium,2663.35
Delhi,883,Shelter,Medicines,Health Emergency,Immediate,High,31465.93
Maharashtra,26,Healthcare,Medicines,Seasonal Need,Within 1 week,Low,875.56
Delhi,40,Shelter,Beds/Shelter,Seasonal Need,Immediate,Low,2631.63
Bihar,144,Employment,Food Kits,Seasonal Need,Long term,Medium,1242.92
Tamil Nadu,288,Employment,Beds/Shelter,Health Emergency,Long term,Medium,11909.51
Karnataka,228,Food,Volunteers,Natural Disaster (Flood/Earthquake),Long term,High,1846.83
Gujarat,272,Disaster Relief,Medicines,Natural Disaster (Flood/Earthquake),Long term,High,7506.05
Telangana,53,Healthcare,Volunteers,Seasonal Need,Long term,Low,548.18
Telangana,399,Shelter,Food Kits,Natural Disaster (Flood/Earthquake),Within 1 week,High,4680.55
Maharashtra,120,Food,Beds/Shelter,Disease Outbreak,Within 1 week,High,7239.17
Gujarat,102,Education,Medicines,Community Emergency,Within 1 week,Medium,2328.64
Karnataka,854,Education,Funds,Health Emergency,Long term,High,9567.43
Tamil Nadu,192,Healthcare,Funds,Community Emergency,Within 1 week,Medium,4321.86
Karnataka,589,Disaster Relief,Funds,Disease Outbreak,Long term,High,10001.66
Andhra Pradesh,843,Shelter,Volunteers,Health Emergency,Immediate,High,9659.98
Tamil Nadu,424,Shelter,Medicines,Disease Outbreak,Long term,High,9964.06
Delhi,969,Shelter,Volunteers,Disease Outbreak,Within 1 week,High,7169.02
Delhi,296,Shelter,Funds,Natural Disaster (Flood/Earthquake),Immediate,High,5601.2
Telangana,233,Education,Food Kits,Disease Outbreak,Immediate,High,2818.2
Bihar,420,Healthcare,Volunteers,Natural Disaster (Flood/Earthquake),Within 1 week,High,4973.71
Gujarat,81,Healthcare,Medicines,Health Emergency,Immediate,Low,3019.18
Andhra Pradesh,82,Shelter,Medicines,Community Emergency,Immediate,Low,2260.3
Maharashtra,188,Healthcare,Funds,Seasonal Need,Within 1 week,Medium,4485.57
Telangana,856,Healthcare,Beds/Shelter,Disease Outbreak,Long term,High,76806.81
Gujarat,898,Food,Food Kits,Health Emergency,Immediate,High,13506.71
Andhra Pradesh,237,Disaster Relief,Beds/Shelter,Health Emergency,Immediate,Medium,17268.56
Bihar,72,Employment,Funds,Seasonal Need,Long term,Low,760.77
Andhra Pradesh,195,Disaster Relief,Beds/Shelter,Seasonal Need,Immediate,Medium,13747.23
Gujarat,657,Food,Volunteers,Disease Outbreak,Within 1 week,High,5159.74
Maharashtra,131,Employment,Food Kits,Community Emergency,Within 1 week,Medium,1294.36
Karnataka,848,Food,Funds,Natural Disaster (Flood/Earthquake),Long term,High,10645.52
Maharashtra,986,Disaster Relief,Funds,Natural Disaster (Flood/Earthquake),Long term,High,15966.28
Telangana,432,Employment,Volunteers,Disease Outbreak,Long term,High,2701.33
Tamil Nadu,987,Shelter,Volunteers,Health Emergency,Long term,High,7903.75
Bihar,81,Healthcare,Funds,Seasonal Need,Immediate,Low,1843.32
Tamil Nadu,1881,Shelter,Food Kits,Natural Disaster (Flood/Earthquake),Long term,High,24209.5
Karnataka,23,Education,Medicines,Community Emergency,Immediate,Low,499.15
Tamil Nadu,167,Food,Medicines,Community Emergency,Immediate,Medium,3513.72
Maharashtra,321,Healthcare,Funds,Natural Disaster (Flood/Earthquake),Immediate,High,9135.68
Telangana,920,Education,Medicines,Natural Disaster (Flood/Earthquake),Within 1 week,High,19519.84
Maharashtra,4476,Education,Volunteers,Disease Outbreak,Immediate,High,34927.66
Maharashtra,677,Employment,Volunteers,Natural Disaster (Flood/Earthquake),Long term,High,4233.72
Telangana,614,Healthcare,Funds,Disease Outbreak,Long term,High,12091.6
Telangana,743,Shelter,Food Kits,Natural Disaster (Flood/Earthquake),Immediate,High,12350.63
Telangana,98,Healthcare,Funds,Community Emergency,Long term,Low,2052.03
Karnataka,953,Healthcare,Funds,Natural Disaster (Flood/Earthquake),Immediate,High,26063.45
Karnataka,281,Food,Funds,Natural Disaster (Flood/Earthquake),Long term,High,3542.64
Bihar,171,Employment,Beds/Shelter,Community Emergency,Long term,Medium,7086.1
Telangana,774,Healthcare,Food Kits,Disease Outbreak,Immediate,High,15688.08
Maharashtra,241,Employment,Medicines,Health Emergency,Immediate,Medium,4687.99
Delhi,420,Employment,Food Kits,Natural Disaster (Flood/Earthquake),Long term,High,3664.37
Delhi,63,Healthcare,Volunteers,Community Emergency,Within 1 week,Low,720.3
Karnataka,6,Food,Funds,Community Emergency,Immediate,Low,84.61
Delhi,168,Employment,Funds,Disease Outbreak,Within 1 week,High,1854.08
Maharashtra,177,Food,Funds,Seasonal Need,Within 1 week,Medium,2923.05
Delhi,337,Shelter,Medicines,Health Emergency,Within 1 week,Medium,9226.85
Andhra Pradesh,83,Healthcare,Funds,Seasonal Need,Within 1 week,Low,1731.37
Bihar,170,Shelter,Beds/Shelter,Community Emergency,Immediate,Medium,10839.61
Bihar,541,Healthcare,Funds,Disease Outbreak,Within 1 week,High,11953.09
Delhi,560,Healthcare,Funds,Health Emergency,Immediate,High,14778.84
Bihar,331,Food,Medicines,Disease Outbreak,Immediate,High,10419.53
Gujarat,195,Education,Beds/Shelter,Community Emergency,Immediate,Medium,8970.22
Bihar,181,Food,Food Kits,Community Emergency,Immediate,Medium,2042.45
Gujarat,181,Education,Medicines,Disease Outbreak,Long term,High,3674.21
Telangana,948,Healthcare,Food Kits,Disease Outbreak,Within 1 week,High,15375.46
Bihar,116,Disaster Relief,Food Kits,Seasonal Need,Immediate,Medium,1459.58
Tamil Nadu,814,Disaster Relief,Volunteers,Natural Disaster (Flood/Earthquake),Within 1 week,High,6637.86
Telangana,46,Education,Medicines,Seasonal Need,Long term,Low,980.76
Andhra Pradesh,119,Disaster Relief,Food Kits,Disease Outbreak,Immediate,High,2146.88
Andhra Pradesh,18,Food,Funds,Seasonal Need,Long term,Low,278.0
Maharashtra,138,Shelter,Beds/Shelter,Community Emergency,Within 1 week,Medium,10631.43
Andhra Pradesh,192,Shelter,Food Kits,Community Emergency,Immediate,Medium,2467.01
Maharashtra,598,Education,Volunteers,Health Emergency,Long term,High,3819.55
Karnataka,634,Food,Volunteers,Health Emergency,Immediate,High,5931.85
Delhi,30,Education,Food Kits,Seasonal Need,Long term,Low,316.59
Delhi,90,Shelter,Funds,Seasonal Need,Long term,Low,1466.63
Maharashtra,5285,Food,Volunteers,Health Emergency,Within 1 week,High,37452.99
Bihar,745,Employment,Food Kits,Disease Outbreak,Immediate,High,8790.74
Telangana,488,Education,Funds,Natural Disaster (Flood/Earthquake),Immediate,High,7566.57
Tamil Nadu,240,Disaster Relief,Food Kits,Natural Disaster (Flood/Earthquake),Immediate,High,3881.62
Bihar,258,Employment,Medicines,Health Emergency,Long term,Medium,4704.75
Tamil Nadu,736,Employment,Beds/Shelter,Health Emergency,Within 1 week,High,29371.49
Andhra Pradesh,215,Healthcare,Medicines,Health Emergency,Immediate,Medium,7287.45
Andhra Pradesh,14,Employment,Volunteers,Community Emergency,Within 1 week,Low,84.24
Telangana,159,Disaster Relief,Volunteers,Community Emergency,Immediate,Medium,1551.39
Maharashtra,619,Food,Funds,Health Emergency,Within 1 week,High,8199.45
Andhra Pradesh,54,Healthcare,Medicines,Disease Outbreak,Long term,High,2055.2
Bihar,437,Shelter,Beds/Shelter,Disease Outbreak,Within 1 week,High,26067.51
Andhra Pradesh,143,Healthcare,Volunteers,Seasonal Need,Long term,Medium,1727.34
Delhi,163,Food,Funds,Community Emergency,Immediate,Medium,2473.67
Delhi,176,Shelter,Funds,Community Emergency,Within 1 week,Medium,2822.23
Gujarat,412,Disaster Relief,Volunteers,Natural Disaster (Flood/Earthquake),Long term,High,3693.93
Bihar,198,Healthcare,Beds/Shelter,Seasonal Need,Immediate,Medium,17868.65
Bihar,144,Employment,Volunteers,Seasonal Need,Long term,Medium,912.69
Tamil Nadu,243,Shelter,Volunteers,Disease Outbreak,Immediate,High,2528.31
Telangana,606,Food,Beds/Shelter,Natural Disaster (Flood/Earthquake),Long term,High,34140.51
Bihar,7753,Shelter,Beds/Shelter,Disease Outbreak,Immediate,High,564772.15
Karnataka,246,Food,Medicines,Disease Outbreak,Within 1 week,High,5816.49
Maharashtra,431,Disaster Relief,Funds,Disease Outbreak,Long term,High,7079.61
Maharashtra,669,Disaster Relief,Medicines,Health Emergency,Within 1 week,High,18140.67
Gujarat,4726,Disaster Relief,Medicines,Disease Outbreak,Long term,High,134731.04
Bihar,673,Healthcare,Volunteers,Disease Outbreak,Within 1 week,High,7792.17
Karnataka,860,Food,Beds/Shelter,Disease Outbreak,Long term,High,51179.54
Andhra Pradesh,950,Shelter,Funds,Natural Disaster (Flood/Earthquake),Immediate,High,16812.8
Karnataka,25729,Employment,Beds/Shelter,Natural Disaster (Flood/Earthquake),Within 1 week,High,1042910.57
Telangana,3,Food,Volunteers,Community Emergency,Within 1 week,Low,23.92
Andhra Pradesh,162,Shelter,Funds,Natural Disaster (Flood/Earthquake),Within 1 week,High,2380.8
Delhi,174,Healthcare,Food Kits,Disease Outbreak,Long term,High,2807.23
Telangana,286,Disaster Relief,Funds,Natural Disaster (Flood/Earthquake),Within 1 week,High,4574.0
Karnataka,543,Healthcare,Medicines,Disease Outbreak,Immediate,High,23001.84
Bihar,404,Employment,Food Kits,Natural Disaster (Flood/Earthquake),Within 1 week,High,3738.09
Gujarat,11,Education,Medicines,Community Emergency,Long term,Low,225.39
Maharashtra,625,Disaster Relief,Volunteers,Natural Disaster (Flood/Earthquake),Within 1 week,High,5098.89
Bihar,103,Shelter,Food Kits,Disease Outbreak,Within 1 week,High,1198.1
Delhi,187,Food,Food Kits,Community Emergency,Within 1 week,Medium,2568.63
Bihar,175,Employment,Food Kits,Seasonal Need,Long term,Medium,1472.25
Telangana,132,Education,Funds,Seasonal Need,Immediate,Medium,1777.56
Telangana,972,Employment,Medicines,Disease Outbreak,Long term,High,18321.17
Delhi,43,Employment,Funds,Seasonal Need,Immediate,Low,524.72
Andhra Pradesh,8,Disaster Relief,Food Kits,Seasonal Need,Immediate,Low,122.61
Maharashtra,93,Education,Funds,Seasonal Need,Within 1 week,Low,1269.07
Telangana,229,Shelter,Volunteers,Disease Outbreak,Long term,High,1924.73
Gujarat,960,Disaster Relief,Volunteers,Health Emergency,Long term,High,8409.05
Gujarat,106,Employment,Funds,Community Emergency,Immediate,Medium,1246.11
Maharashtra,148,Disaster Relief,Beds/Shelter,Seasonal Need,Immediate,Medium,9606.04
Andhra Pradesh,273,Employment,Funds,Disease Outbreak,Within 1 week,High,2966.05
Karnataka,45,Education,Volunteers,Seasonal Need,Within 1 week,Low,309.07
Delhi,118,Education,Volunteers,Community Emergency,Within 1 week,Medium,845.77
Maharashtra,164,Shelter,Funds,Seasonal Need,Long term,Medium,2703.7
Andhra Pradesh,79,Food,Beds/Shelter,Seasonal Need,Long term,Low,4053.85
Andhra Pradesh,82,Shelter,Food Kits,Seasonal Need,Within 1 week,Low,1009.26
Maharashtra,885,Shelter,Beds/Shelter,Health Emergency,Within 1 week,High,55455.23
Maharashtra,698,Shelter,Medicines,Health Emergency,Within 1 week,High,17589.69
Bihar,208,Shelter,Beds/Shelter,Disease Outbreak,Within 1 week,High,13303.83
Karnataka,464,Food,Food Kits,Health Emergency,Immediate,Medium,5541.66
Delhi,130,Disaster Relief,Medicines,Community Emergency,Within 1 week,Medium,4467.36
Bihar,156,Shelter,Food Kits,Health Emergency,Long term,Medium,1851.17
Karnataka,459,Healthcare,Beds/Shelter,Health Emergency,Long term,Medium,36119.0
Telangana,397,Education,Funds,Natural Disaster (Flood/Earthquake),Immediate,High,6473.16
Karnataka,760,Healthcare,Funds,Health Emergency,Within 1 week,High,14115.42
Bihar,154,Education,Funds,Seasonal Need,Long term,Medium,1948.45
Delhi,195,Education,Beds/Shelter,Community Emergency,Immediate,Medium,8858.25
Gujarat,182,Food,Medicines,Community Emergency,Immediate,Medium,4336.71
Bihar,30,Healthcare,Medicines,Seasonal Need,Within 1 week,Low,1109.84
Gujarat,827,Employment,Funds,Natural Disaster (Flood/Earthquake),Immediate,High,11360.16
Gujarat,423,Education,Food Kits,Health Emergency,Immediate,Medium,4197.57
Bihar,412,Disaster Relief,Volunteers,Natural Disaster (Flood/Earthquake),Within 1 week,High,3883.67
Delhi,371,Healthcare,Medicines,Disease Outbreak,Immediate,High,17879.6
Gujarat,571,Healthcare,Funds,Disease Outbreak,Immediate,High,15319.16
Karnataka,60,Healthcare,Medicines,Seasonal Need,Long term,Low,2297.33
Bihar,155,Healthcare,Beds/Shelter,Seasonal Need,Within 1 week,Medium,14927.42
Bihar,573,Healthcare,Medicines,Health Emergency,Long term,High,18423.99
Maharashtra,329,Shelter,Funds,Health Emergency,Long term,Medium,4655.72
Maharashtra,723,Education,Volunteers,Disease Outbreak,Within 1 week,High,5155.49
Karnataka,164,Education,Funds,Seasonal Need,Immediate,Medium,1935.14
Tamil Nadu,96,Employment,Volunteers,Seasonal Need,Immediate,Low,585.62
Andhra Pradesh,38,Disaster Relief,Funds,Seasonal Need,Within 1 week,Low,612.41
Delhi,196,Disaster Relief,Beds/Shelter,Community Emergency,Immediate,Medium,12737.4
Maharashtra,648,Food,Funds,Natural Disaster (Flood/Earthquake),Immediate,High,10655.94
